symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
HDFCBANK,INE040A01034,2026-06-29,NSE,EQ,EQ,buy,false,3.000000,800.000000,200006007,1100000000269836,2026-06-29T09:04:06
LEMONTREE,INE970X01018,2026-06-29,NSE,EQ,EQ,buy,false,10.000000,117.489998,401953717,1200000018636351,2026-06-29T10:01:54
LT,INE018A01030,2026-06-29,NSE,EQ,EQ,buy,false,1.000000,4230.299805,401958578,1200000018697118,2026-06-29T10:02:07
TATAPOWER,INE245A01021,2026-06-29,NSE,EQ,EQ,buy,false,5.000000,386.450012,602421941,1300000020072607,2026-06-29T10:02:33
